average_rating,num_pages,num_occ_title,num_occ_authors,num_occ_genre,publication_year,top_genre,Class
4.49,496.0,1.0,3.0,366.0,1999.0,1.0,0.0
4.16,208.0,1.0,18.0,228.0,1990.0,0.0,0.0
3.69,137.0,1.0,3.0,52.0,2006.0,0.0,1.0
3.77,560.0,2.0,8.0,4027.0,2003.0,1.0,1.0
3.75,304.0,1.0,5.0,4027.0,2003.0,1.0,1.0
3.94,401.0,1.0,7.0,4027.0,2003.0,1.0,1.0
3.45,120.0,1.0,2.0,312.0,2006.0,1.0,1.0
3.97,336.0,1.0,2.0,136.0,1993.0,0.0,1.0
3.86,384.0,1.0,54.0,4027.0,2003.0,1.0,1.0
4.05,416.0,1.0,1.0,587.0,2001.0,1.0,0.0
4.29,325.0,1.0,1.0,29.0,2002.0,0.0,0.0
3.86,588.0,8.0,33.0,114.0,2004.0,0.0,1.0
3.61,304.0,1.0,30.0,4027.0,2000.0,1.0,1.0
4.11,352.0,1.0,4.0,587.0,2001.0,1.0,0.0
4.07,144.0,1.0,18.0,850.0,2007.0,1.0,0.0
4.34,933.0,1.0,1.0,366.0,2006.0,1.0,0.0
3.96,160.0,1.0,2.0,850.0,2005.0,1.0,1.0
4.13,859.0,1.0,2.0,45.0,1993.0,0.0,0.0
3.98,208.0,1.0,3.0,58.0,2002.0,0.0,1.0
3.0,144.0,1.0,1.0,4027.0,2004.0,1.0,1.0
3.99,496.0,1.0,3.0,14.0,2004.0,0.0,1.0
4.2,176.0,1.0,4.0,5.0,1998.0,0.0,0.0
4.05,592.0,1.0,1.0,4027.0,2006.0,1.0,0.0
3.55,160.0,1.0,8.0,95.0,1998.0,0.0,1.0
4.36,189.0,1.0,15.0,25.0,2004.0,0.0,0.0
4.34,672.0,1.0,6.0,4027.0,1996.0,1.0,0.0
3.93,761.0,1.0,74.0,11.0,1995.0,0.0,1.0
3.78,256.0,1.0,9.0,4027.0,1988.0,1.0,1.0
4.57,184.0,1.0,38.0,13.0,2004.0,0.0,0.0
3.97,336.0,1.0,3.0,587.0,2006.0,1.0,1.0
4.07,472.0,1.0,4.0,4027.0,2003.0,1.0,0.0
3.86,144.0,1.0,6.0,587.0,2006.0,1.0,1.0
3.54,336.0,1.0,2.0,4027.0,2005.0,1.0,1.0
3.95,367.0,1.0,7.0,4027.0,1998.0,1.0,1.0
3.86,274.0,1.0,15.0,4027.0,2001.0,1.0,1.0
4.29,290.0,1.0,6.0,4027.0,2002.0,1.0,0.0
3.89,384.0,1.0,9.0,4027.0,2006.0,1.0,1.0
3.74,256.0,1.0,34.0,108.0,2003.0,0.0,1.0
3.45,288.0,1.0,30.0,4027.0,1987.0,1.0,1.0
3.09,278.0,1.0,10.0,4027.0,2001.0,1.0,1.0
4.01,232.0,1.0,38.0,21.0,2005.0,0.0,0.0
3.71,224.0,1.0,3.0,850.0,2004.0,1.0,1.0
3.59,384.0,1.0,1.0,71.0,2000.0,0.0,1.0
4.04,640.0,1.0,3.0,4027.0,1987.0,1.0,0.0
4.18,608.0,1.0,6.0,4027.0,2002.0,1.0,0.0
3.73,140.0,1.0,36.0,71.0,2001.0,0.0,1.0
3.7,288.0,1.0,8.0,366.0,2000.0,1.0,1.0
3.82,890.0,1.0,76.0,4027.0,2005.0,1.0,1.0
3.78,281.0,1.0,9.0,4027.0,2007.0,1.0,1.0
4.14,327.0,1.0,12.0,4027.0,2006.0,1.0,0.0
3.46,188.0,1.0,18.0,4027.0,2005.0,1.0,1.0
3.79,392.0,1.0,9.0,1.0,2005.0,0.0,1.0
3.46,546.0,1.0,5.0,4027.0,2000.0,1.0,1.0
4.42,208.0,1.0,11.0,312.0,2006.0,1.0,0.0
3.98,192.0,1.0,2.0,366.0,1999.0,1.0,1.0
3.88,432.0,1.0,1.0,850.0,2005.0,1.0,1.0
4.25,172.0,1.0,2.0,228.0,2003.0,0.0,0.0
3.43,176.0,1.0,1.0,226.0,1993.0,0.0,1.0
3.48,240.0,1.0,24.0,4027.0,2005.0,1.0,1.0
4.31,208.0,1.0,1.0,76.0,1999.0,0.0,0.0
3.52,404.0,1.0,1.0,48.0,1988.0,0.0,1.0
3.85,229.0,1.0,29.0,2.0,2001.0,0.0,1.0
4.07,32.0,1.0,2.0,850.0,2002.0,1.0,0.0
3.6,185.0,1.0,11.0,366.0,2003.0,1.0,1.0
3.63,820.0,2.0,17.0,4027.0,2006.0,1.0,1.0
3.88,336.0,1.0,1.0,366.0,1990.0,1.0,1.0
3.95,388.0,1.0,12.0,4027.0,2003.0,1.0,1.0
3.38,449.0,2.0,8.0,4027.0,2007.0,1.0,1.0
3.0,128.0,1.0,1.0,366.0,2006.0,1.0,1.0
4.04,272.0,1.0,1.0,587.0,2006.0,1.0,0.0
4.43,448.0,1.0,36.0,850.0,2003.0,1.0,0.0
3.84,306.0,1.0,15.0,4027.0,2006.0,1.0,1.0
3.83,224.0,1.0,3.0,44.0,2001.0,0.0,1.0
4.33,432.0,1.0,2.0,27.0,2004.0,0.0,0.0
3.9,416.0,6.0,92.0,191.0,2003.0,0.0,1.0
3.55,227.0,1.0,46.0,4027.0,2008.0,1.0,1.0
3.68,308.0,1.0,1.0,4027.0,2007.0,1.0,1.0
4.0,256.0,1.0,2.0,78.0,2002.0,0.0,0.0
3.97,348.0,1.0,1.0,4027.0,2002.0,1.0,1.0
4.14,232.0,1.0,1.0,587.0,2006.0,1.0,0.0
4.11,288.0,1.0,6.0,48.0,2006.0,0.0,0.0
3.97,32.0,1.0,11.0,850.0,1995.0,1.0,1.0
3.78,672.0,1.0,10.0,4027.0,1999.0,1.0,1.0
4.04,440.0,1.0,2.0,4027.0,2005.0,1.0,0.0
4.03,236.0,1.0,6.0,1.0,2010.0,0.0,0.0
3.64,132.0,1.0,16.0,850.0,2002.0,1.0,1.0
3.89,80.0,1.0,26.0,191.0,2006.0,0.0,1.0
